DATE,JPNCPIALLQINMEI_PC1
1980-01-01,7.23489
1980-04-01,8.08325
1980-07-01,8.14957
1980-10-01,7.63431
1981-01-01,6.51571
1981-04-01,4.92611
1981-07-01,4.16667
1981-10-01,4.11559
1982-01-01,3.16703
1982-04-01,2.56082
1982-07-01,2.76596
1982-10-01,2.48108
1983-01-01,2.14466
1983-04-01,2.28881
1983-07-01,1.49068
1983-10-01,1.68240
1984-01-01,2.38781
1984-04-01,2.03417
1984-07-01,2.28478
1984-10-01,2.34060
1985-01-01,2.13108
1985-04-01,2.11324
1985-07-01,2.31352
1985-10-01,1.57729
1986-01-01,1.49606
1986-04-01,0.89809
1986-07-01,0.23392
1986-10-01,-0.23292
1987-01-01,-0.85337
1987-04-01,0.15480
1987-07-01,0.46674
1987-10-01,0.73930
1988-01-01,0.78247
1988-04-01,0.23184
1988-07-01,0.58072
1988-10-01,1.12012
1989-01-01,1.04814
1989-04-01,2.69854
1989-07-01,2.73287
1989-10-01,2.59740
1990-01-01,3.57280
1990-04-01,2.55255
1990-07-01,2.62271
1990-10-01,3.57409
1991-01-01,3.70920
1991-04-01,3.40410
1991-07-01,3.13983
1991-10-01,2.76779
1992-01-01,1.93133
1992-04-01,2.30088
1992-07-01,1.80531
1992-10-01,1.01434
1993-01-01,1.29825
1993-04-01,0.83045
1993-07-01,1.77330
1993-10-01,1.07341
1994-01-01,1.24697
1994-04-01,0.72066
1994-07-01,0.00000
1994-10-01,0.82220
1995-01-01,0.13685
1995-04-01,-0.03407
1995-07-01,0.00000
1995-10-01,-0.61162
1996-01-01,-0.34165
1996-04-01,0.13633
1996-07-01,0.20499
1996-10-01,0.54701
1997-01-01,0.58279
1997-04-01,2.04221
1997-07-01,2.18207
1997-10-01,2.17613
1998-01-01,2.01091
1998-04-01,0.33356
1998-07-01,-0.20020
1998-10-01,0.53245
1999-01-01,-0.10023
1999-04-01,-0.26596
1999-07-01,0.00000
1999-10-01,-0.99305
2000-01-01,-0.60201
2000-04-01,-0.70000
2000-07-01,-0.63524
2000-10-01,-0.76897
2001-01-01,-0.43742
2001-04-01,-0.73850
2001-07-01,-0.77389
2001-10-01,-1.01078
2002-01-01,-1.41940
2002-04-01,-0.91309
2002-07-01,-0.81384
2002-10-01,-0.54459
2003-01-01,-0.23997
2003-04-01,-0.23891
2003-07-01,-0.23932
2003-10-01,-0.30801
2004-01-01,-0.13746
2004-04-01,-0.30790
2004-07-01,-0.10281
2004-10-01,0.51493
2005-01-01,0.03441
2005-04-01,-0.10295
2005-07-01,-0.30875
2005-10-01,-0.75137
2006-01-01,-0.13760
2006-04-01,0.17176
2006-07-01,0.61941
2006-10-01,0.34412
2007-01-01,-0.10334
2007-04-01,-0.06859
2007-07-01,-0.13680
2007-10-01,0.54870
2008-01-01,1.00000
2008-04-01,1.37268
2008-07-01,2.12329
2008-10-01,1.02319
2009-01-01,-0.13657
2009-04-01,-0.98172
2009-07-01,-2.21328
2009-10-01,-2.05942
2010-01-01,-0.85470
2010-04-01,-0.75214
2010-07-01,-0.99451
2010-10-01,-0.27577
2011-01-01,-0.51724
2011-04-01,-0.37892
2011-07-01,0.13855
2011-10-01,-0.31110
2012-01-01,0.31196
2012-04-01,0.13831
2012-07-01,-0.41508
2012-10-01,-0.24272
2013-01-01,-0.65653
2013-04-01,-0.27624
2013-07-01,0.86836
2013-10-01,1.45985
2014-01-01,1.53043
2014-04-01,3.60111
2014-07-01,3.37466
2014-10-01,2.53511
2015-01-01,2.32956
2015-04-01,0.53476
2015-07-01,0.13324
2015-10-01,0.20047
2016-01-01,0.03348
2016-04-01,-0.33245
2016-07-01,-0.49900
2016-10-01,0.33344
2017-01-01,0.30120
2017-04-01,0.36691
2017-07-01,0.60181
2017-10-01,0.59821
2018-01-01,1.30130
2018-04-01,0.63144
